Date,Année financière,Titre,Fournisseur,Montant,Montant (virg),Montant ($),Code UNSPSC,Type de devis,Type,Nature,Nb soumissionnaires,Numéro SEAO,Numéro de contrat UQAM
2009-03-04,2008-2009,Achat de 26 micro-ordinateurs CIARA,Hypertec Systèmes (Montréal),26936.0,26936,"26 936,00 $",43210000,Matériel et accessoires informatiques,Contrat octroyé de gré à gré,Approvisionnements (biens),1,275104,C9-2329-1
2009-03-06,2008-2009,"Réparation, sur demande, de moteurs, pompes, ventilateurs...",Les Entreprises Électriques L.M.,70000.0,70000,"70 000,00 $",40100000,"Système, équipement et composante de chauffage, ventilation et circulation d'air",Contrat adjugé suite à un appel d'offres sur invitations,Services,1,275801,K9-1627-1
2009-03-11,2008-2009,"Achat et installation, sur demande, d'items de câblage",FURTIVE NETWORKS,600000.0,600000,"600 000,00 $",26120000,"Fils, câbles et faisceaux de fils électriques",Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),3,257155,K9-1033A(YL)
2009-03-11,2008-2009,"Électricité - Travaux, sur demande, en électricité ; Contrat de 2 ans",MOFAX,140000.0,140000,"140 000,00 $",72102200,Services d'électricité,Contrat adjugé suite à un appel d'offres public,Travaux de construction,9,266395,K9-1668A(LI)
2009-03-11,2008-2009,"Achat, sur demande, de mobiliers de rangement en métal.  Contrat de 2 ans",LINCORA,100000.0,100000,"100 000,00 $",56101532,Meubles assortis,Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),3,263723,K9-1667A(LI)
2009-03-12,2008-2009,Panneaux acoustiques,GEOMAR,45000.0,45000,"45 000,00 $",31371001,Panneaux isolants,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,277404,K9-1684-1
2009-03-17,2008-2009,Système de détection Gamma à puit (2e appel d'offres),GAMBLE TECHNOLOGIES LTD,86748.84,"86748,84","86 748,84 $",41000000,"Équipement de laboratoire, de mesure, d'observation et d'essai",Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),2,268156,C9-1001B(JP)
2009-03-17,2008-2009,Licence Omnicast,Altel Inc,40000.0,40000,"40 000,00 $",43232801,Logiciel de surveillance du réseau,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,301826,K9-0549-2
2009-03-17,2008-2009,Pièces Andover (sans programmation),Altel,40000.0,40000,"40 000,00 $",46000000,"Équipement et fournitures de défense, de maintien de l'ordre et de sécurité",Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,301836,K8-1928-2
2009-03-17,2008-2009,Équipements Andover,Altel,160000.0,160000,"160 000,00 $",46000000,"Équipement et fournitures de défense, de maintien de l'ordre et de sécurité",Contrat octroyé de gré à gré,Approvisionnements (biens),1,301833,K8-1928-1
2009-03-19,2008-2009,Achat de 35 micro-ordinateurs de marque HP,CPU DESIGN,38675.0,38675,"38 675,00 $",43211508,Ordinateurs de table,Contrat octroyé de gré à gré,Approvisionnements (biens),1,279302,C9-2408-1
2009-03-19,2008-2009,"Achat, sur demande, de pièces de réparation d'humidificateurs Dri-Steem et Carnes",AIREAU QUALITE CONTROLE INC.,29000.0,29000,"29 000,00 $",40101903,Humidificateur,Contrat octroyé de gré à gré,Approvisionnements (biens),1,279510,K9-1623-1
2009-03-24,2008-2009,Services d'un directeur de projet qui aura pour mandat de diriger le déploiement progressig des nouveaux systèmes informatiques administratifs ERP,R3D,500000.0,500000,"500 000,00 $",80111608,Besoins en personnel temporaire de développement de systèmes informatiques,Contrat adjugé suite à un appel d'offres public,Services,11,262304,K9-1685A(PB)
2009-03-26,2008-2009,Transformateurs: Achat de sept transformateurs de puissance,MVA Power,541814.0,541814,"541 814,00 $",39121001,Transformateurs de distribution,Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),9,264114,C9-1635A(YL)
2009-03-27,2008-2009,Maintenance du logiciel Illuminate et ses serveurs,FX INNOVATION,69375.0,69375,"69 375,00 $",43233200,Logiciel de sécurité et de protection,Contrat octroyé de gré à gré,Approvisionnements (biens),1,282142,K9-1785-1
2009-03-27,2008-2009,Divers projets de graphisme.,Renzo Communication Visuelle,40000.0,40000,"40 000,00 $",82140000,Graphisme,Contrat octroyé de gré à gré,Services,1,468962,SC-2008-2009-13
2009-03-27,2008-2009,Serveurs Apple MacPro sous subvention FCI,MICRO BOUTIQUE UNIVERSITAIRE INC. INSO,27015.0,27015,"27 015,00 $",43211501,Serveurs d'ordinateur,Contrat octroyé de gré à gré,Approvisionnements (biens),1,281977,C9-2309-1
2009-04-02,2009-2010,"Achat, sur demande, de systèmes de contrôles d’accès et d’alarme avec installation.  Contrat de 2 ans",Alpha Sécurité consul inc.,90000.0,90000,"90 000,00 $",46171604,Systèmes d'alarme,Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),4,274974,K8-1928C(LI)
2009-04-14,2009-2010,Équipements CISCO,BELL CANADA,70761.06,"70761,06","70 761,06 $",43000000,"Technologies de l'information, radiodiffusion et télécommunications",Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,287585,C9-2180-1
2009-04-14,2009-2010,Achat d'un détecteur de photons à beta irradiateur,DAYBREAK NUCLEAR MEDICAL,117600.0,117600,"117 600,00 $",41000000,"Équipement de laboratoire, de mesure, d'observation et d'essai",Contrat octroyé de gré à gré,Approvisionnements (biens),1,287451,C9-2492-1
2009-04-15,2009-2010,"Achat, sur demande, d’enveloppes imprimées et non imprimées.  Contrat allant jusqu’au 30 nov. 2010, prolongation possible jusqu’au 30 nov. 2011",Enveloppe Montréal,105000.0,105000,"105 000,00 $",44121504,Enveloppe à fenêtre,Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),3,271667,K9-0532A(AS)
2009-04-15,2009-2010,Réservation pour colloque,HOTEL INTERCONTINENTAL MTL,38378.84,"38378,84","38 378,84 $",90101601,Salles de réception,Contrat octroyé de gré à gré,Services,1,301829,C9-2696-1
2009-04-16,2009-2010,Achat de 35 micro-ordinateurs HP,CPU DESIGN INC.,38675.0,38675,"38 675,00 $",43000000,"Technologies de l'information, radiodiffusion et télécommunications",Contrat octroyé de gré à gré,Approvisionnements (biens),1,288747,C9-2707-1
2009-04-16,2009-2010,Achat de 35 micro-ordinateurs CIARA.,HYPERTEC SYSTEMES INC. CIARA,36960.0,36960,"36 960,00 $",43000000,"Technologies de l'information, radiodiffusion et télécommunications",Contrat octroyé de gré à gré,Approvisionnements (biens),1,288721,C9-2703-1
2009-04-20,2009-2010,Achat de 75 micro-ordinateurs CIARA,Hypertec Systèmes (Montréal),69600.0,69600,"69 600,00 $",43000000,"Technologies de l'information, radiodiffusion et télécommunications",Contrat octroyé de gré à gré,Approvisionnements (biens),1,289514,C9-2728-1
2009-04-23,2009-2010,"Achat, sur demande, d’équipements de télésurveillance avec installation.  Contrat de 2 ans",Inter-Cité Vidéo Inc,90000.0,90000,"90 000,00 $",46000000,"Équipement et fournitures de défense, de maintien de l'ordre et de sécurité",Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),7,274963,K9-0549A(LI)
2009-04-23,2009-2010,Remplacement des tours d'eau - Pavillon Thérèse-Casgrain (W),Pageau Morel et Associés,29950.0,29950,"29 950,00 $",81100000,Services d'ingénieurs,Contrat adjugé suite à un appel d'offres sur invitations,Services,1,480135,P08021WW01
2009-04-23,2009-2010,Achat de 50 projecteurs Sanyo,SONO VIDEO INC.,210497.0,210497,"210 497,00 $",45000000,"Équipement et fournitures pour l'imprimerie, la photographie et l'audio-visuel",Contrat octroyé de gré à gré,Approvisionnements (biens),1,291029,C9-2693-1
2009-04-23,2009-2010,Achat de 125 micro-ordinateurs HP,CPU DESIGN INC.,137500.0,137500,"137 500,00 $",43000000,"Technologies de l'information, radiodiffusion et télécommunications",Contrat octroyé de gré à gré,Approvisionnements (biens),1,290983,C9-2732-1
2009-04-23,2009-2010,Achat de 10 serveurs HP,CPU DESIGN INC.,119896.0,119896,"119 896,00 $",43000000,"Technologies de l'information, radiodiffusion et télécommunications",Contrat octroyé de gré à gré,Approvisionnements (biens),1,290998,C9-2733-1
2009-04-23,2009-2010,Achat de 3 serveurs Sun,Bell Canada,51755.0,51755,"51 755,00 $",43211501,Serveurs d'ordinateur,Contrat octroyé de gré à gré,Approvisionnements (biens),1,291111,C9-2712-1
2009-04-24,2009-2010,Achat d'un instrument d'expertise en protéines double-crible Hybrigenics,HYBRIGENICS S.A.,32150.0,32150,"32 150,00 $",41000000,"Équipement de laboratoire, de mesure, d'observation et d'essai",Contrat octroyé de gré à gré,Approvisionnements (biens),1,291782,C9-2727-1
2009-04-29,2009-2010,Équipement audio pour salle de spectacle,Solotech,149194.55,"149194,55","149 194,55 $",52161500,Équipement audiovisuel,Contrat octroyé de gré à gré,Approvisionnements (biens),1,301827,C9-2724-1
2009-04-30,2009-2010,Remplacement de 4 verres scellés et sérigraphiés spécialisés.  Équipement vandalisé lors de la manififestation contre la brutalité de P-2009,RMB ENTREPRENEUR EN REVETEMENT,27500.0,27500,"27 500,00 $",52000000,"Meubles, articles de maison, appareils électroménagers et électroniques",Contrat octroyé de gré à gré,Approvisionnements (biens),1,293694,C9-2718-1
2009-05-05,2009-2010,"Achat d'un ""Multi-Channel Potentiostat w.EIS""",GAMBLE TECHNOLOGIES LTD,51591.0,51591,"51 591,00 $",41110000,"Instruments de mesure, d'observation et d'essai",Contrat octroyé de gré à gré,Approvisionnements (biens),1,295502,C9-2792-1
2009-05-05,2009-2010,Achat de 35 micro-ordinateurs CIARA,Hypertec Systems Inc.,36960.0,36960,"36 960,00 $",43211508,Ordinateurs de table,Contrat octroyé de gré à gré,Approvisionnements (biens),1,295489,C9-2798-1
2009-05-08,2009-2010,Acquisition du logiciel VM Ware,Bell Canada (Bell Solution TIC),48360.0,48360,"48 360,00 $",43230000,Logiciels,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,297098,K9-2756-1
2009-05-19,2009-2010,Progiciel de communication de masse SMS,LIPSO SYSTEMES INC.,59500.0,59500,"59 500,00 $",43230000,Logiciels,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,300070,K9-2192-1
2009-05-19,2009-2010,Achat d'équipements CISCO pour sécurisation des réseaux lors d'attaques informatiques en mai 2009,BELL CANADA,149754.16,"149754,16","149 754,16 $",43200000,"Composants pour les technologies de l'information, la radiodiffusion ou les télécommunications",Contrat octroyé de gré à gré,Approvisionnements (biens),1,300172,C9-3003-1
2009-05-20,2009-2010,Achat d'un NRE Processing Wafer TSV CMC Allvia TSV,CMC Microsystems,198000.0,198000,"198 000,00 $",32101513,Montage de circuit spécifique,Contrat octroyé de gré à gré,Approvisionnements (biens),1,300732,C9-2651-1
2009-05-20,2009-2010,Achat de composantes VPN SSl Juniper,BELL CANADA,133998.7,"133998,7","133 998,70 $",43000000,"Technologies de l'information, radiodiffusion et télécommunications",Contrat octroyé de gré à gré,Approvisionnements (biens),1,300722,C9-3061-1
2009-05-20,2009-2010,51 micro-ordinateurs Ciara,Hypertec Systems Inc.,41004.0,41004,"41 004,00 $",43211500,Ordinateurs,Contrat octroyé de gré à gré,Approvisionnements (biens),1,300739,C9-3066-1
2009-05-20,2009-2010,Achat 30 ordinateurs HP,CPU DESIGN INC.,30570.0,30570,"30 570,00 $",43211500,Ordinateurs,Contrat octroyé de gré à gré,Approvisionnements (biens),1,300597,C9-3063-1
2009-05-25,2009-2010,Téléphonie : Liens d’accès primaire pour les services de réseau téléphonique public commuté et pour les services FSI (fournisseur de service internet),TELUS,852891.0,852891,"852 891,00 $",43191504,Téléphones fixes,Contrat adjugé suite à un appel d'offres public,Services,3,264013,K8-2417A(NM)
2009-05-26,2009-2010,"Equipements informatiques ""NetEnforcer""",Altea Communications,99878.5,"99878,5","99 878,50 $",43210000,Matériel et accessoires informatiques,Contrat octroyé de gré à gré,Approvisionnements (biens),1,302857,C9-3072-1
2009-05-26,2009-2010,Achat Database Compustat sur DVD,Standard & Poor's investment services,40305.0,40305,"40 305,00 $",43230000,Logiciels,Contrat octroyé de gré à gré,Approvisionnements (biens),1,302349,K9-2905-1
2009-05-26,2009-2010,35 Micro-ordinateurs HP,CPU Design Inc,30100.0,30100,"30 100,00 $",43211500,Ordinateurs,Contrat octroyé de gré à gré,Approvisionnements (biens),1,302328,C9-3117-1
2009-05-27,2009-2010,Impression de l’agenda UQAM,Quebecor World,78487.86,"78487,86","78 487,86 $",82121500,Impression,Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),3,295471,K9-2931A(YL)
2009-05-27,2009-2010,Aménagement SVIE-IPH,Baja Construction Inc.,97926.04,"97926,04","97 926,04 $",72102801,Rénovation d'immeubles ou de lieux historiques ou de monuments,Contrat adjugé suite à un appel d'offres sur invitations,Travaux de construction,1,480125,P08024AA01
2009-05-29,2009-2010,Inséreuse plieuse et ouvre-lettre,Poste-Matik Ltee,26504.0,26504,"26 504,00 $",45101807,Plieuse - imprimerie,Contrat adjugé suite à un appel d'offres sur invitations,Autre,1,305419,K9-2392-1
2009-06-01,2009-2010,Solution CyberArk et le support,Gosecure Inc,76400.0,76400,"76 400,00 $",43230000,Logiciels,Contrat octroyé de gré à gré,Approvisionnements (biens),1,304520,K9-3098-1
2009-06-03,2009-2010,Fibres optiques : fourniture et installation avec location de conduits CSEM,Telecon Inc,217662.36,"217662,36","217 662,36 $",26121607,Câble à fibres optiques,Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),1,294852,K9-2698A(NM)
2009-06-03,2009-2010,FCI Izquierdo-Schougaard,Constructions Pier-Jal Inc.,101616.83,"101616,83","101 616,83 $",72000000,"Services - bâtiment, construction et entretien",Contrat adjugé suite à un appel d'offres public,Travaux de construction,4,279113,P08016PK
2009-06-03,2009-2010,"Achat, sur demande, d'animaux en science",Laboratoires Charles River St-Constant SA,100000.0,100000,"100 000,00 $",10100000,Animaux vivants,Contrat octroyé de gré à gré,Approvisionnements (biens),1,305135,K9-2640-1
2009-06-03,2009-2010,Projecteur Sony,C.E.V. Inc,30564.78,"30564,78","30 564,78 $",52161500,Équipement audiovisuel,Contrat octroyé de gré à gré,Approvisionnements (biens),1,305346,C9-2969-1
2009-06-09,2009-2010,125 Projecteurs et accessoires,Guillevin International,46916.5,"46916,5","46 916,50 $",39111508,Projecteur sur rail,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,306919,C9-2936-1
2009-06-10,2009-2010,Achat d'un Camion Ford F-150 XLT 2009,Circuit Ford Lincoln,32959.0,32959,"32 959,00 $",25101507,Camionnettes ou véhicules utilitaires sport,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,306984,C9-3118-1
2009-06-10,2009-2010,"Maintenance, support et mises à jour de licences Oracle",Société d'Informatique Oracle du Québec Inc.,62674.9,"62674,9","62 674,90 $",43231512,Logiciel de gestion des licences d'utilisation,Contrat octroyé de gré à gré,Services,1,306948,K9-3129-1
2009-06-15,2009-2010,Estrade J-3875,JCB entrepreneurs généraux,31225.75,"31225,75","31 225,75 $",72102801,Rénovation d'immeubles ou de lieux historiques ou de monuments,Contrat adjugé suite à un appel d'offres sur invitations,Travaux de construction,1,480064,P09010HH04
2009-06-15,2009-2010,Poste de travail HP,CPU Design Inc,30766.22,"30766,22","30 766,22 $",43210000,Matériel et accessoires informatiques,Contrat octroyé de gré à gré,Approvisionnements (biens),1,308134,C9-2684-1
2009-06-16,2009-2010,"Achat, sur demande, de filtres à air pour systèmes de ventilation. Contrat de 3 ans",Camfil Farr Inc.,84163.9,"84163,9","84 163,90 $",40161505,Filtre à air,Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),4,274750,K9-1741B(YL)
2009-06-18,2009-2010,Services for Dream Wafer Development Power Bock,Sound Design Technologies Inc.,36767.44,"36767,44","36 767,44 $",43210000,Matériel et accessoires informatiques,Contrat octroyé de gré à gré,Approvisionnements (biens),1,310697,C0-0190-1
2009-06-19,2009-2010,"7 ordinateurs MacPro, accessoires et services",Micro Boutique Universitaire Inc.,49428.0,49428,"49 428,00 $",43211500,Ordinateurs,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,312511,C0-0191-1
2009-06-19,2009-2010,30 Micro ordinateurs station table,Hypertec Systems Inc. (Ciara),28470.0,28470,"28 470,00 $",43211500,Ordinateurs,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,310885,C0-0196-1
2009-06-22,2009-2010,"Achat, sur demande, de mobiliers modulaires.  Contrat de 3 ans",Teknion / Roy et Breton ,225000.0,225000,"225 000,00 $",52000000,"Meubles, articles de maison, appareils électroménagers et électroniques",Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),4,288196,K9-1669A(LI)
2009-06-22,2009-2010,"Achat, sur demande, de papiers de divers formats Offset et autres.  Contrat de 2 ans.",Unisource Canada Inc.,140000.0,140000,"140 000,00 $",14111800,Papier à usage commercial,Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),2,302158,K9-2474A(LI)
2009-06-22,2009-2010,"Achat, sur demande, de papiers de divers formats Offset et autres.  Contrat de 2 ans.",Spicers,140000.0,140000,"140 000,00 $",14111800,Papier à usage commercial,Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),2,302158,K9-2474A(LI)
2009-06-29,2009-2010,Médiatisation sdc suite au délestage pavillon T,JCB entrepreneurs généraux,57948.9,"57948,9","57 948,90 $",72102801,Rénovation d'immeubles ou de lieux historiques ou de monuments,Contrat adjugé suite à un appel d'offres sur invitations,Travaux de construction,1,480057,P09012HH02
2009-06-29,2009-2010,Fourniture sur demande de produits chimiques,Roche Diagnostics,88593.58,"88593,58","88 593,58 $",12000000,Produits chimiques (y compris les produits biochimiques) et gazeux,Contrat octroyé de gré à gré,Approvisionnements (biens),1,330087,K9-2655-1
2009-06-30,2009-2010,Odinateur HP Compaq Business Desktop,CPU Design Inc,144130.0,144130,"144 130,00 $",43211500,Ordinateurs,Contrat octroyé de gré à gré,Approvisionnements (biens),1,318640,C0-0325-1
2009-06-30,2009-2010,Fourniture sur demande de produits de laboratoire et de produits chimiques,Bio-Rad Laboratories,70875.0,70875,"70 875,00 $",41120000,Fournitures et appareils fixes de laboratoire,Contrat octroyé de gré à gré,Approvisionnements (biens),1,330099,K9-2652-1
2009-06-30,2009-2010,"Pour Omnivox, fournir service hébergement, licences, mises à jours, soutien technique et surveillance par Centrale",Skytech Communication Inc,43350.0,43350,"43 350,00 $",81110000,Services informatiques,Contrat octroyé de gré à gré,Approvisionnements (biens),1,315132,K9-2620-1
2009-07-02,2009-2010,Achat de 54 micro-ordinateurs HP avec périphériques,CPU DESIGN INC.,72282.0,72282,"72 282,00 $",43211503,Ordinateurs portables,Contrat octroyé de gré à gré,Approvisionnements (biens),1,315370,C0-0339-1 et -2
2009-07-02,2009-2010,Unité de stockage,CPU DESIGN INC.,31638.0,31638,"31 638,00 $",43210000,Matériel et accessoires informatiques,Contrat octroyé de gré à gré,Approvisionnements (biens),1,316316,C0-0350-1
2009-07-07,2009-2010,Densification des archives,AGL Construction inc,360500.0,360500,"360 500,00 $",72000000,"Services - bâtiment, construction et entretien",Contrat adjugé suite à un appel d'offres public,Travaux de construction,2,277653,P08012DD-
2009-07-07,2009-2010,Plan directeur des bibliothèques - Phase 8,Baja Construction Inc,194904.69,"194904,69","194 904,69 $",72000000,"Services - bâtiment, construction et entretien",Contrat adjugé suite à un appel d'offres public,Travaux de construction,2,301543,P08004AA
2009-07-07,2009-2010,Fournir sur demande produits chimiques et de laboratoire,Sigma-Aldrich Canada Ltd,150000.0,150000,"150 000,00 $",12000000,Produits chimiques (y compris les produits biochimiques) et gazeux,Contrat octroyé de gré à gré,Approvisionnements (biens),1,318655,K9-2654-1
2009-07-08,2009-2010,Uniformes et vêtements sportifs,Niva Sports Inc,250000.0,250000,"250 000,00 $",53102901,Vêtements athlétiques pour femmes,Contrat octroyé de gré à gré,Approvisionnements (biens),1,318653,K9-3116-1
2009-07-09,2009-2010,Téléphone IP 7911G de Cisco,Bell Canada ,126255.0,126255,"126 255,00 $",43191511,Téléphones IP,Contrat octroyé de gré à gré,Approvisionnements (biens),1,318649,C0-0380-1
2009-07-13,2009-2010,UQAM Travaux de réaménagements intérieurs,Dama Construction (9028-7939 Québec Inc.),116947.92,"116947,92","116 947,92 $",72131600,Construction de bâtiments non résidentiels,Contrat adjugé suite à un appel d'offres public,Travaux de construction,4,296989,P09008HH
